license_number,dba,district,county_number,county_name,license_type_code,location_address,location_city,location_zip_code,long,lat,number_of_inspections,number_of_total_violations,number_of_total_violations_ranked,simple_sum_score_health,simple_sum_score_health_ranked,simple_sum_score_administrative,simple_sum_score_administrative_ranked,simple_sum_score_facility,simple_sum_score_facility_ranked,serialid
1100097,PLAZA COFFEE SHOP,D5,11,Alachua,2010,207 NE 16 AVE,GAINESVILLE,326013779,,,2,5,0.4775826386,4,0.6635655016,0,0.2904199145,1,0.4724956964,1
1100109,SANDWICH INN,D5,11,Alachua,2010,110 NE 16 AVE,GAINESVILLE,326013780,,,2,3.6666666667,0.3506992128,2,0.3567919383,0,0.2904199145,1,0.4724956964,2
1100182,MCDONALDS OF GAINESVIL,D5,11,Alachua,2010,201 NW 13 ST,GAINESVILLE,326015125,,,1,6,0.5621844839,3,0.520202704,0,0.2904199145,2,0.769540241,5
1100206,ARBY'S 95,D5,11,Alachua,2010,1405 SW 13 ST,GAINESVILLE,326081111,,,1,2,0.1845515561,2,0.3567919383,0,0.2904199145,0,0.1068257867,6
1100722,LEONARDOS PIZZA BY SLICE,D5,11,Alachua,2010,1245 W UNIVERSITY AVE,GAINESVILLE,326015109,,,2,6.3333333333,0.5903947699,2.6666666667,0.465010348,0,0.2904199145,1.3333333333,0.6019225934,7
1100758,LEONARDO'S 706,D5,11,Alachua,2010,706 W UNIVERSITY AVE,GAINESVILLE,326015157,,,2,5.5,0.5214792751,4.5,0.7258176824,0,0.2904199145,0.5,0.2874025647,9
1100769,BURGER KING 1363,D5,11,Alachua,2010,6123 NW 8 AVE,GAINESVILLE,32607,,,2,3.6666666667,0.3506992128,2.6666666667,0.465010348,0,0.2904199145,0.6666666667,0.3419953192,10
1100907,BEV'S BETTER BURGERS,D5,11,Alachua,2010,230 N MAIN ST,ALACHUA,32615,,,1,3,0.2841724531,3,0.520202704,0,0.2904199145,0,0.1068257867,11
1100975,MCDONALDS,D5,11,Alachua,2010,2880 NW 13 ST,GAINESVILLE,326092817,,,2,8.6666666667,0.7390476006,4.3333333333,0.7070462854,0,0.2904199145,1.3333333333,0.6019225934,12
1100984,LEONARDO'S PIZZA OF MILLHOPPER,D5,11,Alachua,2010,4131 NW 16 BLVD,GAINESVILLE,326053505,,,2,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,13
1101010,SUBWAY SANDWICHES & SALADS,D5,11,Alachua,2010,3316 SW 35 BLVD,GAINESVILLE,326082407,,,1,3,0.2841724531,1,0.1951026092,1,0.9018974488,1,0.4724956964,14
1101104,BURGER KING 2314,D5,11,Alachua,2010,3905 SW ARCHER RD,GAINESVILLE,326082341,,,2,6,0.5621844839,3,0.520202704,0,0.2904199145,2.5,0.863871105,15
1101120,BEV'S BETTER BURGERS,D5,11,Alachua,2010,615 NE SANTA FE BLVD,HIGH SPGS,32643,,,2,7,0.6371636912,3.5,0.5967582832,0,0.2904199145,1.5,0.6478307963,16
1101145,KENTUCKY FRIED CHICKEN #35,D5,11,Alachua,2010,3525 SW ARCHER RD,GAINESVILLE,326082410,,,2,6,0.5621844839,5,0.7782344636,0,0.2904199145,1,0.4724956964,17
1101214,WENDYS OLD FASHIONED HAMBURGER,D5,11,Alachua,2010,6700 NEWBERRY RD,GAINESVILLE,326054313,,,2,8,0.7019980271,5,0.7782344636,0.5,0.7254695267,0.5,0.2874025647,19
1101218,MCDONALDS RESTAURANT,D5,11,Alachua,2010,6003 NEWBERRY RD,GAINESVILLE,326054301,,,1,8,0.7019980271,4,0.6635655016,0,0.2904199145,2,0.769540241,20
1101238,NAPOLATANOS,D5,11,Alachua,2010,606 NW 75 ST,GAINESVILLE,326071800,,,2,10,0.7998684745,6.5,0.8945281523,0,0.2904199145,0.5,0.2874025647,21
1101298,GOLDEN BUDDHA RESTAURANT,D5,11,Alachua,2010,613 NW 16 AVE,GAINESVILLE,326014035,,,2,6.3333333333,0.5903947699,3.3333333333,0.5746310516,0.3333333333,0.6322411559,0.3333333333,0.2339509874,25
1101623,DIANNE'S OLD TIME BARBEQUE,D5,11,Alachua,2010,US 301,HAWTHORNE,32640,,,2,13.5,0.9031353359,5.5,0.8242103634,0.5,0.7254695267,2.5,0.863871105,32
1101652,CLUBROOM AT WEST END,D5,11,Alachua,2010,12830 W NEWBERRY RD,NEW BERRY,32669,,,2,3,0.2841724531,1.5,0.2758360573,1,0.9018974488,0,0.1068257867,33
1101698,SONNY'S REAL PIT BBQ OF G V,D5,11,Alachua,2010,3635 SW ARCHER RD,GAINESVILLE,326082412,,,3,5.3333333333,0.5085394867,2.6666666667,0.465010348,0,0.2904199145,1.6666666667,0.6916113808,34
1101702,MCDONALDS RESTAURANT ALACHUA,D5,11,Alachua,2010,16018 NW HWY 441,ALACHUA,32615,,,1,3,0.2841724531,3,0.520202704,0,0.2904199145,0,0.1068257867,35
1101748,POPEYES FRIED CHICKEN #128,D5,11,Alachua,2010,1412 N MAIN ST,GAINESVILLE,326014368,,,2,3.5,0.3365408793,2,0.3567919383,0,0.2904199145,1,0.4724956964,38
1101765,FALAFEL KING SANDWICHES,D5,11,Alachua,2010,3252 SW 35 BLVD,GAINESVILLE,326082415,,,2,4,0.3849345274,2.5,0.4410359568,0,0.2904199145,0.5,0.2874025647,39
1101798,NEWBERRY COUNTRY KITCHEN,D5,11,Alachua,2010,345 W CENTRAL AVE,NEWBERRY,326694109,,,2,3,0.2841724531,2,0.3567919383,0,0.2904199145,0.3333333333,0.2339509874,41
1101806,RUBY TUESDAY #2890,D5,11,Alachua,2010,6329 W NEWBERRY ROAD,GAINESVILLE,32605,,,2,4,0.3849345274,2.5,0.4410359568,0,0.2904199145,1,0.4724956964,42
1101893,BROWN'S COUNTRY BUFFET,D5,11,Alachua,2010,14423 NW US HWY 441,ALACHUA,32615,,,2,11.3333333333,0.849035802,6.6666666667,0.9038026344,0.3333333333,0.6322411559,2,0.769540241,47
1101921,DAVIDS REAL PIT BBQ #2,D5,11,Alachua,2010,5121 NW 39 AVE A,GAINESVILLE,326065943,,,2,7,0.6371636912,4,0.6635655016,0,0.2904199145,1.5,0.6478307963,48
1101966,BURGER BARN,D5,11,Alachua,2010,205 N US 301,HAWTHORNE,32640,,,2,5.5,0.5214792751,3,0.520202704,0,0.2904199145,1,0.4724956964,49
1101970,BISTRO 1245,D5,11,Alachua,2010,1245 W UNIVERSITY AVE,GAINESVILLE,326015109,,,2,4.5,0.4325254831,2.5,0.4410359568,1,0.9018974488,1,0.4724956964,50
1102039,BURGER KING #0056,D5,11,Alachua,2010,20 NW 16 AVE,GAINESVILLE,326013776,,,2,6.5,0.6020676583,3,0.520202704,0,0.2904199145,2,0.769540241,51
1102390,SWEETWATER BRANCH INN,D5,11,Alachua,2010,625 E UNIVERSITY AVE,GAINESVILLE,326015449,,,2,3,0.2841724531,2.5,0.4410359568,0,0.2904199145,0.5,0.2874025647,60
1102397,MIYA SUSHI RESTAURANT,D5,11,Alachua,2010,3222 SW 35 BLVD,GAINESVILLE,326082415,,,2,7,0.6371636912,3.5,0.5967582832,0.5,0.7254695267,1.25,0.5866230827,61
1102418,LA FAMILIA SANDWICH SHOP,D5,11,Alachua,2010,1209 SW 16 AVE,GAINESVILLE,326018410,,,1,3.3333333333,0.3225082687,2.3333333333,0.4170422236,0,0.2904199145,0.6666666667,0.3419953192,62
1102437,HARRYS OF GAINESVILLE,D5,11,Alachua,2010,110 SE 1 ST,GAINESVILLE,326016825,,,3,10.6666666667,0.8251194368,5,0.7782344636,0,0.2904199145,2.3333333333,0.8411829558,64
1102439,CRACKER BARREL #167,D5,11,Alachua,2010,4001 SW 43 ST,GAINESVILLE,326082217,,,2,9.6666666667,0.785739154,4.3333333333,0.7070462854,0.3333333333,0.6322411559,1.3333333333,0.6019225934,65
1102456,MCDONALDS,D5,11,Alachua,2010,1030 E UNIVERSITY AVE,GAINESVILLE,326015616,,,2,7,0.6371636912,3.5,0.5967582832,0,0.2904199145,1,0.4724956964,67
1102477,BOSTON MARKET #559,D5,11,Alachua,2010,6483 NEWBERRY RD,GAINESVILLE,326054337,,,2,4.5,0.4325254831,3,0.520202704,0.5,0.7254695267,0.5,0.2874025647,69
1102511,ALACHUA SPORTS PUB,D5,11,Alachua,2010,14003 NW 150 AVE,ALACHUA,326155358,,,1,1,0.0990019535,0,0.0546024255,0,0.2904199145,1,0.4724956964,73
1102527,PJ'S CAFE & CATERING,D5,11,Alachua,2010,6005 SE HWY 301 STE 404,HAWTHORNE,32640,,,2,2.3333333333,0.2204115975,2.3333333333,0.4170422236,0,0.2904199145,0,0.1068257867,74
1102534,MIRAKU JAPANESE STEAKHOUSE & S,D5,11,Alachua,2010,4005 SW 40 BLVD,GAINESVILLE,326082373,,,2,6,0.5621844839,3.3333333333,0.5746310516,0.3333333333,0.6322411559,1,0.4724956964,75
1102538,ECONO LODGE BREAKFAST,D5,11,Alachua,2010,15920 NW US HWY 441,ALACHUA,32615,,,1,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,76
